time,ADS.fAHUFanSUPSpeedSetADSInternalValuesMirror,ADS.fAHUFanSUPSpeedActADSInternalValuesMirror
2022-09-02T00:00:00Z,60.0,60.0
2022-09-02T00:01:00Z,60.0,60.0
2022-09-02T00:02:00Z,60.0,60.0
2022-09-02T00:03:00Z,60.0,60.0
2022-09-02T00:04:00Z,60.0,60.0
2022-09-02T00:05:00Z,60.0,60.0
2022-09-02T00:06:00Z,60.0,60.0
2022-09-02T00:07:00Z,59.99978340996636,60.0
2022-09-02T00:08:00Z,60.0,60.0
2022-09-02T00:09:00Z,60.0,60.0
2022-09-02T00:10:00Z,60.0,59.9079704284668
2022-09-02T00:11:00Z,60.0,59.9079704284668
2022-09-02T00:12:00Z,60.0,59.9079704284668
2022-09-02T00:13:00Z,60.0,59.9079704284668
2022-09-02T00:14:00Z,60.0,59.95545196533203
2022-09-02T00:15:00Z,60.0,59.95545196533203
2022-09-02T00:16:00Z,60.0,59.95545196533203
2022-09-02T00:17:00Z,60.0,59.95545196533203
2022-09-02T00:18:00Z,60.0,60.0
2022-09-02T00:19:00Z,60.0,60.0
2022-09-02T00:20:00Z,60.0,60.0
2022-09-02T00:21:00Z,60.0,60.0
2022-09-02T00:22:00Z,60.0,59.98063659667969
2022-09-02T00:23:00Z,60.0,59.98063659667969
2022-09-02T00:24:00Z,60.0,59.98063659667969
2022-09-02T00:25:00Z,60.0,59.98063659667969
2022-09-02T00:26:00Z,59.98322057723999,60.0
2022-09-02T00:27:00Z,60.0,60.0
2022-09-02T00:28:00Z,60.0,60.0
2022-09-02T00:29:00Z,60.0,60.0
2022-09-02T00:30:00Z,60.0,60.0
2022-09-02T00:31:00Z,59.99849149915907,60.0
2022-09-02T00:32:00Z,60.0,60.0
2022-09-02T00:33:00Z,60.0,60.0
2022-09-02T00:34:00Z,60.0,60.0
2022-09-02T00:35:00Z,60.0,60.0
2022-09-02T00:36:00Z,60.0,60.0
2022-09-02T00:37:00Z,60.0,60.0
2022-09-02T00:38:00Z,60.0,60.0
2022-09-02T00:39:00Z,60.0,60.0
2022-09-02T00:40:00Z,60.0,60.0
2022-09-02T00:41:00Z,60.0,60.0
2022-09-02T00:42:00Z,60.0,60.0
2022-09-02T00:43:00Z,60.0,60.0
2022-09-02T00:44:00Z,60.0,60.0
2022-09-02T00:45:00Z,60.0,60.0
2022-09-02T00:46:00Z,60.0,60.0
2022-09-02T00:47:00Z,60.0,60.0
2022-09-02T00:48:00Z,60.0,60.0
2022-09-02T00:49:00Z,60.0,60.0
2022-09-02T00:50:00Z,60.0,59.95647430419922
2022-09-02T00:51:00Z,60.0,59.95647430419922
2022-09-02T00:52:00Z,60.0,59.95647430419922
2022-09-02T00:53:00Z,60.0,59.95647430419922
2022-09-02T00:54:00Z,60.0,60.0
2022-09-02T00:55:00Z,60.0,60.0
2022-09-02T00:56:00Z,60.0,60.0
2022-09-02T00:57:00Z,60.0,60.0
2022-09-02T00:58:00Z,60.0,59.930419921875
2022-09-02T00:59:00Z,60.0,59.930419921875
2022-09-02T01:00:00Z,60.0,59.930419921875
2022-09-02T01:01:00Z,60.0,59.930419921875
2022-09-02T01:02:00Z,60.0,60.0
2022-09-02T01:03:00Z,60.0,60.0
2022-09-02T01:04:00Z,60.0,60.0
2022-09-02T01:05:00Z,60.0,60.0
2022-09-02T01:06:00Z,60.0,60.0
2022-09-02T01:07:00Z,60.0,60.0
2022-09-02T01:08:00Z,60.0,60.0
2022-09-02T01:09:00Z,60.0,60.0
2022-09-02T01:10:00Z,60.0,60.0
2022-09-02T01:11:00Z,60.0,60.0
2022-09-02T01:12:00Z,60.0,60.0
2022-09-02T01:13:00Z,60.0,60.0
2022-09-02T01:14:00Z,60.0,60.0
2022-09-02T01:15:00Z,60.0,60.0
2022-09-02T01:16:00Z,60.0,60.0
2022-09-02T01:17:00Z,60.0,60.0
2022-09-02T01:18:00Z,60.0,60.0
2022-09-02T01:19:00Z,60.0,60.0
2022-09-02T01:20:00Z,60.0,60.0
2022-09-02T01:21:00Z,60.0,60.0
2022-09-02T01:22:00Z,60.0,60.0
2022-09-02T01:23:00Z,60.0,60.0
2022-09-02T01:24:00Z,60.0,60.0
2022-09-02T01:25:00Z,60.0,60.0
2022-09-02T01:26:00Z,60.0,60.0
2022-09-02T01:27:00Z,60.0,60.0
2022-09-02T01:28:00Z,60.0,60.0
2022-09-02T01:29:00Z,60.0,60.0
2022-09-02T01:30:00Z,60.0,60.0
2022-09-02T01:31:00Z,60.0,60.0
2022-09-02T01:32:00Z,60.0,60.0
2022-09-02T01:33:00Z,60.0,60.0
2022-09-02T01:34:00Z,60.0,60.0
2022-09-02T01:35:00Z,60.0,60.0
2022-09-02T01:36:00Z,60.0,60.0
2022-09-02T01:37:00Z,60.0,60.0
2022-09-02T01:38:00Z,60.0,60.0
2022-09-02T01:39:00Z,60.0,60.0
2022-09-02T01:40:00Z,60.0,60.0
2022-09-02T01:41:00Z,60.0,60.0
2022-09-02T01:42:00Z,60.0,60.0
2022-09-02T01:43:00Z,60.0,60.0
2022-09-02T01:44:00Z,60.0,60.0
2022-09-02T01:45:00Z,60.0,60.0
2022-09-02T01:46:00Z,60.0,60.0
2022-09-02T01:47:00Z,59.9994797706604,60.0
2022-09-02T01:48:00Z,60.0,60.0
2022-09-02T01:49:00Z,60.0,60.0
2022-09-02T01:50:00Z,60.0,60.0
2022-09-02T01:51:00Z,60.0,60.0
2022-09-02T01:52:00Z,60.0,60.0
2022-09-02T01:53:00Z,60.0,60.0
2022-09-02T01:54:00Z,60.0,60.0
2022-09-02T01:55:00Z,60.0,60.0
2022-09-02T01:56:00Z,60.0,60.0
2022-09-02T01:57:00Z,60.0,60.0
2022-09-02T01:58:00Z,60.0,60.0
2022-09-02T01:59:00Z,60.0,60.0
2022-09-02T02:00:00Z,60.0,60.0
2022-09-02T02:01:00Z,60.0,60.0
2022-09-02T02:02:00Z,60.0,60.0
2022-09-02T02:03:00Z,60.0,60.0
2022-09-02T02:04:00Z,60.0,60.0
2022-09-02T02:05:00Z,59.995362758636475,60.0
2022-09-02T02:06:00Z,60.0,60.0
2022-09-02T02:07:00Z,60.0,60.0
2022-09-02T02:08:00Z,60.0,60.0
2022-09-02T02:09:00Z,60.0,60.0
2022-09-02T02:10:00Z,60.0,60.0
2022-09-02T02:11:00Z,60.0,60.0
2022-09-02T02:12:00Z,60.0,60.0
2022-09-02T02:13:00Z,60.0,60.0
2022-09-02T02:14:00Z,60.0,60.0
2022-09-02T02:15:00Z,60.0,60.0
2022-09-02T02:16:00Z,60.0,60.0
2022-09-02T02:17:00Z,60.0,60.0
2022-09-02T02:18:00Z,60.0,60.0
2022-09-02T02:19:00Z,60.0,60.0
2022-09-02T02:20:00Z,60.0,60.0
2022-09-02T02:21:00Z,60.0,60.0
2022-09-02T02:22:00Z,60.0,59.930721282958984
2022-09-02T02:23:00Z,60.0,59.930721282958984
2022-09-02T02:24:00Z,60.0,59.930721282958984
2022-09-02T02:25:00Z,60.0,59.930721282958984
2022-09-02T02:26:00Z,60.0,59.955718994140625
2022-09-02T02:27:00Z,60.0,59.955718994140625
2022-09-02T02:28:00Z,60.0,59.955718994140625
2022-09-02T02:29:00Z,60.0,59.955718994140625
2022-09-02T02:30:00Z,60.0,60.0
2022-09-02T02:31:00Z,60.0,60.0
2022-09-02T02:32:00Z,60.0,60.0
2022-09-02T02:33:00Z,60.0,60.0
2022-09-02T02:34:00Z,60.0,60.0
2022-09-02T02:35:00Z,60.0,60.0
2022-09-02T02:36:00Z,60.0,60.0
2022-09-02T02:37:00Z,60.0,60.0
2022-09-02T02:38:00Z,60.0,60.0
2022-09-02T02:39:00Z,60.0,60.0
2022-09-02T02:40:00Z,60.0,60.0
2022-09-02T02:41:00Z,60.0,60.0
2022-09-02T02:42:00Z,60.0,60.0
2022-09-02T02:43:00Z,60.0,60.0
2022-09-02T02:44:00Z,60.0,60.0
2022-09-02T02:45:00Z,60.0,60.0
2022-09-02T02:46:00Z,60.0,59.980987548828125
2022-09-02T02:47:00Z,60.0,59.980987548828125
2022-09-02T02:48:00Z,60.0,59.980987548828125
2022-09-02T02:49:00Z,60.0,59.980987548828125
2022-09-02T02:50:00Z,60.0,60.0
2022-09-02T02:51:00Z,60.0,60.0
2022-09-02T02:52:00Z,60.0,60.0
2022-09-02T02:53:00Z,60.0,60.0
2022-09-02T02:54:00Z,60.0,59.9558219909668
2022-09-02T02:55:00Z,60.0,59.9558219909668
2022-09-02T02:56:00Z,60.0,59.9558219909668
2022-09-02T02:57:00Z,60.0,59.9558219909668
2022-09-02T02:58:00Z,60.0,60.0
2022-09-02T02:59:00Z,60.0,60.0
2022-09-02T03:00:00Z,60.0,60.0
2022-09-02T03:01:00Z,60.0,60.0
2022-09-02T03:02:00Z,60.0,60.0
2022-09-02T03:03:00Z,60.0,60.0
2022-09-02T03:04:00Z,60.0,60.0
2022-09-02T03:05:00Z,60.0,60.0
2022-09-02T03:06:00Z,60.0,60.0
2022-09-02T03:07:00Z,60.0,60.0
2022-09-02T03:08:00Z,60.0,60.0
2022-09-02T03:09:00Z,60.0,60.0
2022-09-02T03:10:00Z,60.0,60.0
2022-09-02T03:11:00Z,60.0,60.0
2022-09-02T03:12:00Z,60.0,60.0
2022-09-02T03:13:00Z,60.0,60.0
2022-09-02T03:14:00Z,60.0,60.0
2022-09-02T03:15:00Z,60.0,60.0
2022-09-02T03:16:00Z,60.0,60.0
2022-09-02T03:17:00Z,60.0,60.0
2022-09-02T03:18:00Z,60.0,60.0
2022-09-02T03:19:00Z,60.0,60.0
2022-09-02T03:20:00Z,60.0,60.0
2022-09-02T03:21:00Z,60.0,60.0
2022-09-02T03:22:00Z,60.0,59.881263732910156
2022-09-02T03:23:00Z,60.0,59.881263732910156
2022-09-02T03:24:00Z,60.0,59.881263732910156
2022-09-02T03:25:00Z,60.0,59.881263732910156
2022-09-02T03:26:00Z,59.99758243560791,59.880184173583984
2022-09-02T03:27:00Z,60.0,59.880184173583984
2022-09-02T03:28:00Z,60.0,59.880184173583984
2022-09-02T03:29:00Z,60.0,59.880184173583984
2022-09-02T03:30:00Z,60.0,60.0
2022-09-02T03:31:00Z,60.0,60.0
2022-09-02T03:32:00Z,60.0,60.0
2022-09-02T03:33:00Z,60.0,60.0
2022-09-02T03:34:00Z,60.0,60.0
2022-09-02T03:35:00Z,60.0,60.0
2022-09-02T03:36:00Z,60.0,60.0
2022-09-02T03:37:00Z,60.0,60.0
2022-09-02T03:38:00Z,60.0,60.0
2022-09-02T03:39:00Z,60.0,60.0
2022-09-02T03:40:00Z,60.0,60.0
2022-09-02T03:41:00Z,60.0,60.0
2022-09-02T03:42:00Z,60.0,60.0
2022-09-02T03:43:00Z,60.0,60.0
2022-09-02T03:44:00Z,60.0,60.0
2022-09-02T03:45:00Z,60.0,60.0
2022-09-02T03:46:00Z,60.0,60.0
2022-09-02T03:47:00Z,60.0,60.0
2022-09-02T03:48:00Z,60.0,60.0
2022-09-02T03:49:00Z,60.0,60.0
2022-09-02T03:50:00Z,60.0,60.0
2022-09-02T03:51:00Z,60.0,60.0
2022-09-02T03:52:00Z,60.0,60.0
2022-09-02T03:53:00Z,60.0,60.0
2022-09-02T03:54:00Z,60.0,60.0
2022-09-02T03:55:00Z,60.0,60.0
2022-09-02T03:56:00Z,60.0,60.0
2022-09-02T03:57:00Z,60.0,60.0
2022-09-02T03:58:00Z,60.0,60.0
2022-09-02T03:59:00Z,60.0,60.0
2022-09-02T04:00:00Z,60.0,60.0
