,Component,Subsystem,Metric,Krematorium Hüls Ahu02 Lüftungsanlage Umkleide Vermutlich nicht ausgeführt,Krematorium Hüls Asu1 Zuluft Krematorium Keller,Schule Barbarastraße RLT01,Centre Charlemagne RLT01,Kita Kollenbruch RLT01,Kita Stettiner Straße RLT01,Krematorium Hüls Ahu01 Lüftungsanlage Trauerhallen,Centre Charlemagne RLT02,Centre Charlemagne RLT03,Centre Charlemagne RLT04,Centre Charlemagne RLT06,Kita Händelstraße RLT01,Kita Händelstraße RLT02,Krematorium Hüls Aex01 Abluftanlage Nebenräume ,Krematorium Hüls Aex01 Abluftanlage Trockenraum,Krematorium Hüls Aex02 Abluftanlage Umkleiden,Krematorium Hüls Ahu01 Lüftungsanlage Grabutensilien,RLT 09-10,RLT 01
Supply fan - operating message,,,,,x,x,x,x,,x,x,x,x,x,,,,,,,x,x
Filter - alarm message,,,,,x,,x,,,x,,,,,,,,,,,,
Operating message,,,,x,x,,,,,,,,,,x,x,x,x,x,x,,
Air heater - operating message,,,,,,x,x,,,x,,,,,,,,,,,,
Air heater - pump operating message,,,,,,x,x,,,,,x,x,x,,,,,,,x,
Exhaust fan - operating message,,,,,,,x,x,,x,x,x,x,x,,,,,,,x,x
Air re-heater - operating message,,,,,,,x,,,,,,,,,,,,,,,
Air re-heater - pump operating message,,,,,,,,,,,,,x,x,,x,,,,,,
Air cooler - operating message,,,,,,,x,,,,,,,,,,,,,,,
Air cooler - pump operating message,,,,,,,,,,,,,x,x,,,,,,,x,
Supply humidifier - operating message,,,,,,,x,,,,,,,x,,,,,,,,
Supply fan - operating message,,,,,,,,,,,,,,,,,,,,,,
Alarm message,,,,x,,,,x,x,,,,,,x,x,,,,,,
Supply fan - speed,,,,,,,x,x,,,x,x,x,x,,,,,,,,
Exhaust fan - speed,,,,,,,x,,,,x,x,x,x,,,,,,,,
Supply fan - volume flow,,,,,,,,x,x,,,,,,,x,,,,,,
Exhaust fan - volume flow,,,,,,,,x,x,,,,,,,x,,,,,,
Exhaust fan - electrical power,,,,,,,,,x,,,,,,,,,,,,,
Supply fan - electrical power,,,,,,,,,x,,,,,,,,,,,,,
Exhaust fan - pressure difference,,,,,,,,,,,,,,,,x,,,,,,
Supply fan - pressure difference,,,,,,,,,,,,,,,,x,,,,,,
Outside air temperature (weather station),,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,,
Outside air temperature (AHU),,,,x,x,,,x,,x,,,,,,x,,,,,x,x
Extract air temperature,,,,x,,x,,x,x,,,,,,x,x,,x,,,,
Extract air temperature setpoint,,,,,,,,,x,,,,,,,,,,,,,
Exhaust air temperature,,,,x,,,x,,,,,,,,,x,,,,,,
Supply air temperature,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,x,x
Supply air temperature setpoint,,,,,x,x,x,x,x,x,,,,x,x,x,,,,x,x,x
Supply air temperature setpoint maximum,,,,,,,x,x,x,,,,,,,x,,,,,,
Supply air temperature setpoint minimum,,,,,,,x,x,x,,,,,,,x,,,,,,
Air re-heater - valve position,,,,,,,,,,,,,,,x,x,,,,,,
Recirculation damper - control signal,,,,,,,,,,x,,,,,,,,,,,,
Air re-heater - valve control signal,,,,,,,x,,,,,,x,x,,,,,,,,
Air heater - valve control signal,,,,,x,x,x,,,x,,x,x,x,,,,,,,x,x
Air cooler - valve control signal,,,,,,,x,,,,,,x,x,,,,,,,x,
Outside air relative humidity,,,,,,,x,,,,,,,x,,,,,,,,
Supply air relative humidity,,,,,,,x,,,,,,x,x,,,,,,,,
Exhaust duct pressure,,,,,,,x,,,,,,,,,,,,,,,
Exhaust duct pressure setpoint,,,,,,,x,,,,,,,,,,,,,,,
Supply duct pressure,,,,,,,x,,,,,,,,,,,,,,,
Supply duct pressure setpoint,,,,,,,x,,,,,,,,,,,,,,,
Heat recovery system - utilization level setpoint,,,,,,,x,,,,x,,,x,,,,,,,x,
Supply air temperature after heat recovery system,,,,,,,x,,,,,,,,,x,,,,,,
